경주일자,경주번호,경주장,출전번호,마명,과거_경주일자,과거_출전번호,종류,과거_등급,과거_거리,함수율,빠르기,과거_순위,과거_기수,과거_중량,과거_S-1F,과거_G-3F,과거_G-1F,과거_기록,과거_마체중,과거_레이팅
2025년07월06일(일),제1경주,부경,1,금아프리시드,2025/05/24-3R,10,주,-,1000,2,-,2,먼로,55.0,0:14.3,0:37.9,0:13.3,1:03.9,505(-10),38
2025년07월06일(일),제1경주,부경,1,금아프리시드,2024/08/02-9R,3,일,국5등급,1300,2,2,1,김동영,53.5,0:14.1,0:37.7,0:13.4,1:19.8,515(9),32
2025년07월06일(일),제1경주,부경,1,금아프리시드,2024/06/15-1R,8,주,-,1000,4,-,1,김동영,53.0,0:14.3,0:37.5,0:13.4,1:03.5,516(10),32
2025년07월06일(일),제1경주,부경,1,금아프리시드,2023/10/15-1R,8,일,국6등급,1300,3,4,1,김동영,53.0,0:13.7,0:39.1,0:14.1,1:21.0,506(17),-
2025년07월06일(일),제1경주,부경,1,금아프리시드,2023/08/27-1R,5,일,국6등급,1200,8,5,7,다실바,53.0,0:13.7,0:39.0,0:14.1,1:15.8,489(-5),-
2025년07월06일(일),제1경주,부경,1,금아프리시드,2023/07/23-1R,8,일,국6등급,1000,6,4,4,모준호,53.0,0:13.8,0:36.8,0:13.3,1:01.9,494(6),-
2025년07월06일(일),제1경주,부경,1,금아프리시드,2023/07/01-3R,2,주,-,1000,17,-,5,유현명,53.0,0:13.9,0:37.5,0:13.3,1:02.7,488(0),-
2025년07월06일(일),제1경주,부경,2,비케이워리어,2025/06/08-2R,6,일,국5등급,1300,2,5,6,서강주,53.5,0:14.4,0:38.8,0:13.8,1:22.1,472(5),34
2025년07월06일(일),제1경주,부경,2,비케이워리어,2025/05/04-2R,1,일,국5등급,1300,14,6,9,서강주,54.0,0:14.4,0:40.7,0:14.7,1:23.8,467(7),35
2025년07월06일(일),제1경주,부경,2,비케이워리어,2025/04/13-3R,5,일,국4등급,1600,17,2,11,전진구,52.0,0:14.5,0:39.8,0:14.0,1:40.8,460(-6),36
2025년07월06일(일),제1경주,부경,2,비케이워리어,2025/03/30-4R,3,일,국4등급,1600,2,6,9,전진구,52.0,0:15.2,0:38.5,0:13.4,1:43.1,466(-12),36
2025년07월06일(일),제1경주,부경,2,비케이워리어,2025/01/10-7R,1,일,국4등급,1400,2,9,11,조창욱,52.0,0:14.4,0:42.8,0:15.2,1:33.4,478(-3),36
2025년07월06일(일),제1경주,부경,2,비케이워리어,2024/12/08-5R,6,일,혼4등급,1600,2,7,6,조창욱,52.0,0:14.6,0:41.1,0:14.4,1:43.9,481(7),37
2025년07월06일(일),제1경주,부경,2,비케이워리어,2024/11/03-5R,2,일,국4등급,1200,16,5,11,정동철,52.0,0:14.1,0:39.4,0:14.2,1:16.8,474(2),38
2025년07월06일(일),제1경주,부경,2,비케이워리어,2024/09/06-6R,7,일,국4등급,1400,2,5,7,우에다,52.0,0:14.4,0:39.4,0:13.7,1:29.6,472(9),39
2025년07월06일(일),제1경주,부경,2,비케이워리어,2024/08/11-9R,9,일,국4등급,1300,4,2,8,먼로,52.0,0:14.3,0:38.4,0:13.9,1:21.0,463(-2),39
2025년07월06일(일),제1경주,부경,2,비케이워리어,2024/07/05-7R,8,일,국4등급,1400,5,6,6,박재이,52.0,0:14.0,0:40.9,0:14.5,1:29.7,465(3),39
2025년07월06일(일),제1경주,부경,3,어메이징월드,2025/05/17-1R,7,주,-,1000,18,-,2,채상현,54.0,0:14.8,0:36.0,0:12.1,1:02.7,506(-7),39
2025년07월06일(일),제1경주,부경,3,어메이징월드,2025/04/27-4R,5,일,혼4등급,1600,3,7,10,이현종,52.5,0:14.6,0:44.4,0:16.7,1:48.0,513(10),40
2025년07월06일(일),제1경주,부경,3,어메이징월드,2025/03/30-3R,9,일,혼4등급,1300,2,6,6,송경윤,53.0,0:14.0,0:38.4,0:13.2,1:21.9,503(-3),41
2025년07월06일(일),제1경주,부경,3,어메이징월드,2025/02/09-4R,8,일,혼4등급,1800,3,9,8,이효식,53.0,0:14.0,0:46.1,0:16.8,2:03.2,506(0),41
2025년07월06일(일),제1경주,부경,3,어메이징월드,2025/01/03-7R,9,일,혼4등급,1400,2,9,3,이효식,53.0,0:13.9,0:39.3,0:13.7,1:28.3,506(8),40
2025년07월06일(일),제1경주,부경,3,어메이징월드,2024/11/29-2R,2,일,혼4등급,1200,12,8,6,다나카,55.0,0:13.8,0:38.8,0:13.6,1:15.6,498(14),40
