마명,선행력,선입력,추입력,선행등급,선입등급,추입등급
가속제일,19.2,34.2,16.0,D,D,A+
그랜드드림,57.5,57.5,-6.0,C,C,D
나이스버디,79.2,79.2,0.0,B+,B+,B
닥터매터스,65.0,52.5,-6.0,B,C,D
대성돌풍,65.0,58.4,-8.0,B,C,D
대호마,25.9,36.7,11.0,D,D,A
머스킷걸,45.3,39.3,11.4,D,D,A
백두의꿈,73.3,73.3,0.0,B+,B+,B
브리도위저드,73.3,75.0,-5.0,B+,B+,C
블랙팰컨,45.0,62.5,7.0,D,B,B+
비월,50.0,72.5,4.0,C,B+,B
사바하,50.9,56.7,9.0,C,C,B+
서귀스타,54.2,30.9,0.0,C,D,B
서부비전,69.2,58.4,1.0,B,C,B
서부캡틴,60.0,63.3,-5.0,B,B,C
석세스풀,49.2,45.9,12.0,D,D,A
소리태풍,85.0,69.2,-17.0,A,B,D
솔레다드,49.2,61.7,1.0,D,B,B
스토밍매직,25.9,33.4,2.0,D,D,B
아스터,66.7,68.3,-15.0,B,B,D
아잔타,60.8,67.5,-4.0,B,B,C
위너클리어,52.5,68.3,-2.0,C,B,C
초격차,60.2,67.6,4.4,B,B,B
콩코드파크,25.9,49.2,13.0,D,D,A
킹애니데이,54.2,59.2,3.0,C,C,B
태왕신기,81.7,84.2,-8.0,A,A,D
톱파이어,42.5,42.5,-5.0,D,D,C
트리플악셀,60.0,54.2,-21.0,B,C,D
파워사운드,56.7,42.5,10.0,C,D,A
퍼펙트액션,73.3,73.3,-15.0,B+,B+,D
포스트맨,66.7,68.3,-5.0,B,B,C
한강세이버,40.9,52.5,-2.0,D,C,C
