경주일자,경주번호,경주장,경주시간,출전번호,마명,과거_경주일자,과거_출전번호,종류,과거_등급,과거_거리,함수율,빠르기,과거_순위,과거_기수,과거_중량,과거_S-1F,과거_G-3F,과거_G-1F,과거_기록,과거_마체중,과거_레이팅
2025년07월06일(일),제1경주,서울,10:35,1,고스트,2025/05/31-1R,4,일,국6등급,1000,4,6,6,마이아,55.0,0:13.8,0:40.0,0:14.8,1:04.8,444(4),-
2025년07월06일(일),제1경주,서울,10:35,1,고스트,2025/05/15-4R,1,주,-,1000,10,-,4,코지,55.0,0:14.2,0:39.9,0:14.0,1:05.0,440(0),-
2025년07월06일(일),제1경주,서울,10:35,2,스마트마루,2025/06/22-1R,11,일,국6등급,1200,15,5,9,코지,55.0,0:14.0,0:40.3,0:14.4,1:17.2,450(33),-
2025년07월06일(일),제1경주,서울,10:35,2,스마트마루,2025/04/05-1R,1,일,국6등급,1200,12,2,9,정정희,55.0,0:14.1,0:39.9,0:13.9,1:17.4,417(8),-
2025년07월06일(일),제1경주,서울,10:35,2,스마트마루,2025/02/20-2R,1,주,-,1000,3,-,6,조한별,54.0,0:14.8,0:39.6,0:13.6,1:05.6,409(-6),-
2025년07월06일(일),제1경주,서울,10:35,2,스마트마루,2025/02/13-2R,1,주,-,1000,6,-,7,조한별,54.0,0:15.4,0:40.0,0:13.8,1:06.8,415(0),-
2025년07월06일(일),제1경주,서울,10:35,3,남촌타운,2025/05/29-3R,11,주,-,1000,7,-,3,정우주,54.0,0:15.2,0:37.1,0:12.4,1:04.0,505(24),-
2025년07월06일(일),제1경주,서울,10:35,3,남촌타운,2024/12/01-3R,1,일,국6등급,1400,17,3,7,먼로,55.0,0:13.8,0:40.2,0:13.6,1:30.5,481(-6),-
2025년07월06일(일),제1경주,서울,10:35,3,남촌타운,2024/10/20-7R,1,대,국OPEN,1200,14,5,9,최범현,55.0,0:13.6,0:39.6,0:14.4,1:16.0,487(7),-
2025년07월06일(일),제1경주,서울,10:35,3,남촌타운,2024/07/28-1R,2,일,국6등급,1200,12,4,5,임다빈,55.0,0:13.6,0:38.9,0:13.8,1:15.5,480(9),-
2025년07월06일(일),제1경주,서울,10:35,3,남촌타운,2024/06/13-5R,7,주,-,1000,6,-,6,임다빈,55.0,0:15.0,0:37.1,0:12.3,1:04.8,471(0),-
2025년07월06일(일),제1경주,서울,10:35,4,런던몬스터,2025/06/12-2R,1,주,-,1000,3,-,6,정우주,54.0,0:14.0,0:38.3,0:13.8,1:03.0,454(-15),-
2025년07월06일(일),제1경주,서울,10:35,4,런던몬스터,2025/06/05-4R,8,주,-,1000,3,-,9,정우주,54.0,0:15.3,0:39.9,0:14.4,1:06.7,469(0),-
2025년07월06일(일),제1경주,서울,10:35,5,스마트밍크,2025/06/14-2R,7,일,국6등급,1300,3,4,7,김태훈,55.0,0:14.0,0:41.7,0:15.0,1:25.0,440(0),-
2025년07월06일(일),제1경주,서울,10:35,5,스마트밍크,2025/05/18-1R,1,일,국6등급,1300,14,6,7,오수철,55.0,0:14.1,0:41.0,0:14.6,1:24.5,440(6),-
2025년07월06일(일),제1경주,서울,10:35,5,스마트밍크,2025/04/20-1R,6,일,국6등급,1200,9,6,6,조상범,55.0,0:14.2,0:41.0,0:14.8,1:18.6,434(1),-
2025년07월06일(일),제1경주,서울,10:35,5,스마트밍크,2025/03/22-1R,1,일,국6등급,1200,5,8,9,오수철,54.0,0:14.2,0:43.1,0:15.8,1:20.5,433(2),-
2025년07월06일(일),제1경주,서울,10:35,5,스마트밍크,2025/02/22-1R,9,일,국6등급,1200,3,7,11,오수철,54.5,0:14.8,0:43.4,0:16.0,1:22.5,431(-1),-
2025년07월06일(일),제1경주,서울,10:35,5,스마트밍크,2025/01/23-3R,2,주,-,1000,2,-,3,오수철,55.0,0:14.7,0:38.8,0:13.3,1:04.9,432(-6),-
2025년07월06일(일),제1경주,서울,10:35,5,스마트밍크,2025/01/16-3R,2,주,-,1000,4,-,7,오수철,54.0,0:15.0,0:40.4,0:14.3,1:07.1,438(0),-
2025년07월06일(일),제1경주,서울,10:35,6,트리플팔메토,2025/05/24-1R,4,일,국6등급,1200,13,5,5,김동수,55.0,0:14.4,0:38.8,0:13.1,1:17.9,501(-12),-
2025년07월06일(일),제1경주,서울,10:35,6,트리플팔메토,2025/04/12-1R,4,일,국6등급,1200,5,5,8,김동수,55.0,0:14.8,0:40.6,0:14.4,1:19.7,513(-4),-
2025년07월06일(일),제1경주,서울,10:35,6,트리플팔메토,2025/03/09-1R,10,일,국6등급,1200,11,3,10,송재철,54.0,0:14.6,0:39.3,0:13.7,1:17.7,517(6),-
2025년07월06일(일),제1경주,서울,10:35,6,트리플팔메토,2024/12/05-4R,6,주,-,1000,15,-,8,송재철,54.0,0:14.5,0:39.6,0:13.6,1:05.3,511(0),-
2025년07월06일(일),제1경주,서울,10:35,7,마니노다지,2025/05/29-4R,10,주,-,1000,7,-,3,조상범,55.0,0:14.5,0:38.3,0:13.6,1:03.9,499(1),-
2025년07월06일(일),제1경주,서울,10:35,7,마니노다지,2025/01/11-3R,2,일,국6등급,1300,5,5,11,이철경,56.0,0:14.0,0:44.0,0:16.8,1:27.3,498(-5),-
2025년07월06일(일),제1경주,서울,10:35,7,마니노다지,2024/12/14-4R,3,일,국6등급,1200,8,7,5,이철경,55.0,0:14.2,0:39.5,0:14.2,1:17.8,503(7),-
2025년07월06일(일),제1경주,서울,10:35,7,마니노다지,2024/11/10-1R,2,일,국6등급,1200,5,5,5,이철경,55.0,0:13.5,0:40.2,0:15.0,1:17.3,496(0),-
2025년07월06일(일),제1경주,서울,10:35,7,마니노다지,2024/10/13-2R,7,일,국6등급,1200,3,4,9,이철경,55.0,0:13.8,0:40.2,0:15.3,1:17.4,496(11),-
2025년07월06일(일),제1경주,서울,10:35,7,마니노다지,2024/09/14-1R,12,일,국6등급,1000,16,4,11,이철경,55.0,0:13.6,0:39.4,0:14.3,1:04.3,485(-27),-
2025년07월06일(일),제1경주,서울,10:35,7,마니노다지,2024/08/29-1R,4,주,-,1000,6,-,6,이철경,53.0,0:14.3,0:39.9,0:14.3,1:05.4,512(0),-
2025년07월06일(일),제1경주,서울,10:35,8,와달비,2025/05/29-3R,4,주,-,1000,7,-,8,오수철,54.0,0:14.7,0:39.7,0:14.2,1:05.5,450(-5),-
2025년07월06일(일),제1경주,서울,10:35,8,와달비,2025/05/08-3R,2,주,-,1000,9,-,5,오수철,55.0,0:15.2,0:39.3,0:13.1,1:06.3,455(0),-
2025년07월06일(일),제1경주,서울,10:35,9,크리솔동해,2025/06/12-2R,11,주,-,1000,3,-,4,코지,56.0,0:14.1,0:37.8,0:13.3,1:02.8,503(10),-
2025년07월06일(일),제1경주,서울,10:35,9,크리솔동해,2025/01/26-2R,1,일,국6등급,1400,3,6,2,코지,56.5,0:14.1,0:40.6,0:14.3,1:30.0,493(14),-
2025년07월06일(일),제1경주,서울,10:35,9,크리솔동해,2024/11/14-4R,4,주,-,1000,3,-,6,코지,55.0,0:14.3,0:37.4,0:12.7,1:02.9,479(-21),-
2025년07월06일(일),제1경주,서울,10:35,9,크리솔동해,2024/10/17-3R,1,주,-,1000,3,-,9,코지,55.0,0:17.6,0:38.4,0:12.5,1:08.7,500(0),-
2025년07월06일(일),제1경주,서울,10:35,10,후다닥,2025/05/29-4R,2,주,-,1000,7,-,4,오수철,55.0,0:14.2,0:39.1,0:14.1,1:04.0,504(4),-
2025년07월06일(일),제1경주,서울,10:35,10,후다닥,2025/05/08-1R,2,주,-,1000,9,-,7,오수철,55.0,0:14.8,0:40.5,0:14.2,1:07.8,500(0),-
2025년07월06일(일),제1경주,서울,10:35,11,구룡천하,2025/06/05-3R,6,주,-,1000,3,-,7,김효정,54.0,0:14.3,0:40.0,0:14.7,1:05.0,514(-13),-
2025년07월06일(일),제1경주,서울,10:35,11,구룡천하,2025/05/15-1R,3,주,-,1000,10,-,7,김효정,54.0,0:15.3,0:39.4,0:14.0,1:06.4,527(3),-
