경주일자,경주번호,경주장,경주시간,등급,거리,핸디캡,레이팅범위,연령조건,NO,마명,산지,성별,연령,레이팅,부중,증감,기수,조교사,마주,조교횟수,출전주기,장구현황,특이사항
20250706,1,서울,10:35,국6등급,1200M,별정A,일반,R0~0,1,고스트,한국,수,2,-,55.5,0.5,씨씨웡,안병기,한대영,10,5주,계란형큰+,-
20250706,1,서울,10:35,국6등급,1200M,별정A,일반,R0~0,2,스마트마루,한국,암,3,-,55,0,이혁,박재우,박정재,16,2주,망사눈,-
20250706,1,서울,10:35,국6등급,1200M,별정A,일반,R0~0,3,남촌타운,한국,수,3,-,57,2,정우주,우창구,남승현,13,31주,망사,-
20250706,1,서울,10:35,국6등급,1200M,별정A,일반,R0~0,4,런던몬스터,한국,수,3,-,57,0,문정균,최영주,임현성,13,-,망사눈,-
20250706,1,서울,10:35,국6등급,1200M,별정A,일반,R0~0,5,스마트밍크,한국,암,3,-,55,0,김태훈,손영표,김은갑,9,3주,망사눈,-
20250706,1,서울,10:35,국6등급,1200M,별정A,일반,R0~0,6,트리플팔메토,한국,암,3,-,55,0,김동수,김동균,박성구,10,6주,망사눈,-
20250706,1,서울,10:35,국6등급,1200M,별정A,일반,R0~0,7,마니노다지,한국,거,3,-,57,1,조상범,최봉주,한영석,10,25주,망사눈,-
20250706,1,서울,10:35,국6등급,1200M,별정A,일반,R0~0,8,와달비,한국,수,3,-,55,0,(-2)김성현,이동국,(주)늘푸른목장,12,-,망사눈,-
20250706,1,서울,10:35,국6등급,1200M,별정A,일반,R0~0,9,크리솔동해,한국,수,4,-,57,0.5,코지,전승규,요시다 가츠미,12,23주,"계란형큰,망사눈",-
20250706,1,서울,10:35,국6등급,1200M,별정A,일반,R0~0,10,후다닥,한국,수,3,-,57,0,오수철,이동국,(주)늘푸른목장,16,-,"계란형큰,망사눈",-
20250706,1,서울,10:35,국6등급,1200M,별정A,일반,R0~0,11,구룡천하,한국,수,3,-,57,0,김효정,강성오,씨유네트워크,17,-,망사눈+,-
20250706,2,서울,11:00,국5등급,1400M,핸디캡,일반,R1~35,1,샤인볼트,한국,암,4,33(0),55,0.5,코지,김동균,최지욱,10,5주,"계란형큰,망사",-
20250706,2,서울,11:00,국5등급,1400M,핸디캡,일반,R1~35,2,골드캐처,한국,암,3,29,53,-2,빅투아르,리카디,홍애란,11,4주,"망사눈,혀끈",-
20250706,2,서울,11:00,국5등급,1400M,핸디캡,일반,R1~35,3,지나송,한국,암,3,27(-1),52,0,임다빈,정호익,강용식,5,4주,양털코-,-
20250706,2,서울,11:00,국5등급,1400M,핸디캡,일반,R1~35,4,수향미인,한국,암,3,35(4),56,2.5,문세영,이관호,명마조합,6,5주,망사,-
20250706,2,서울,11:00,국5등급,1400M,핸디캡,일반,R1~35,5,학산대세,한국,암,4,25(0),*52,0,해리카심,홍대유,황봉기,8,3주,망사눈,-
20250706,2,서울,11:00,국5등급,1400M,핸디캡,일반,R1~35,6,럭키데이,한국,암,3,27(0),52,0,송재철,토니,김창호,14,4주,"계란형큰,망사",-
20250706,2,서울,11:00,국5등급,1400M,핸디캡,일반,R1~35,7,다이아룩,한국,암,4,26,*52,-3,푸르칸,안병기,김희정,9,8주,"반가지큰,승인편자,양털코",-
20250706,2,서울,11:00,국5등급,1400M,핸디캡,일반,R1~35,8,포에틱누비,한국,암,4,26(0),*52,0,이동하,서인석,천병득,14,2주,"망사눈,반가지큰,승인편자",-
20250706,2,서울,11:00,국5등급,1400M,핸디캡,일반,R1~35,9,안양쓰나미,한국,암,4,29(0),53,0,정우주,김윤섭,이상진,8,4주,망사눈,-
20250706,2,서울,11:00,국5등급,1400M,핸디캡,일반,R1~35,10,동키플레이,한국,암,4,31(0),54,2,조재로,최영주,조현영,11,11주,"눈가면,반가지큰",-
20250706,2,서울,11:00,국5등급,1400M,핸디캡,일반,R1~35,11,플라잉라이언,한국,암,4,34(0),53.5,-1.5,(-2)김성현,송문길,김형순,7,4주,망사,-
20250706,3,서울,11:25,국5등급,1300M,핸디캡,일반,R1~35,1,굿프렌드,한국,암,3,26,*52,-3,씨씨웡,안병기,황혜정,9,4주,-,-
20250706,3,서울,11:25,국5등급,1300M,핸디캡,일반,R1~35,2,하이폴리,한국,수,4,30(1),54.5,0.5,김효정,문병기,김은갑,9,5주,망사눈,-
20250706,3,서울,11:25,국5등급,1300M,핸디캡,일반,R1~35,3,용비킹,한국,수,3,28(0),53.5,0.5,김태희,구자흥,정성진,16,14주,"망사눈,승인편자",-
20250706,3,서울,11:25,국5등급,1300M,핸디캡,일반,R1~35,4,글로벌함성,한국,거,3,29(-1),54,0,조인권,정호익,장재형,9,20주,"망사눈,승인편자+",-
20250706,3,서울,11:25,국5등급,1300M,핸디캡,일반,R1~35,5,로열베스트,한국,수,4,35(0),57,0,장추열,박재우,박민지,7,5주,"계란형큰,망사눈",-
20250706,3,서울,11:25,국5등급,1300M,핸디캡,일반,R1~35,6,스마트테이크,한국,암,3,30(1),52.5,-0.5,문세영,송문길,김은갑,10,4주,"계란형큰,망사+",-
20250706,3,서울,11:25,국5등급,1300M,핸디캡,일반,R1~35,7,원평강자,한국,거,4,29(0),54,-1,임다빈,함완식,김용재,11,6주,망사눈,-
20250706,3,서울,11:25,국5등급,1300M,핸디캡,일반,R1~35,8,큐피드하트,한국,암,3,29(2),52,0,조한별,신삼영,서순배,9,4주,계란형큰,-
