경주일자,경주번호,경주장,경주시간,등급,거리,핸디캡,레이팅범위,연령조건,NO,마명,산지,성별,연령,레이팅,부중,증감,기수,조교사,마주,조교횟수,출전주기,장구현황,특이사항,선행력,선입력,추입력,선행등급,선입등급,추입등급,경주일자_map,경주번호_map,경주장_map,경주시간_map,출전번호,과거_경주일자,과거_출전번호,종류,과거_등급,과거_거리,함수율,빠르기,과거_순위,과거_기수,과거_중량,과거_S-1F,과거_G-3F,과거_G-1F,과거_기록,과거_마체중,과거_레이팅,순번,마번,순위,배당,S1F-1C-2C-3C-4C-G1F,S1F-1C-2C-3C-G3F-4C-G1F,S1F-G8F-G6F-G4F-G3F-G2F-G1F,S-1F,S1F,10-8F,8-6F,6-4F,4-2F,400,1F-G,1코너,2F-G,2코너,3F-G,3코너,G-3F,4코너,G400,G3F,G-1F,G1F,경주기록
20250719,1,서울,10:35,국6등급,1200M,별정A,일반,R0~0,1,달빛소나타,한국,암,3,-,55,0.0,해리카심,신삼영,피닉스,7,3주,망사눈,-,44.5,45.9,-21.7,D,D,D,2025년07월19일(토),제1경주,서울,10:35,1,2025/06/28-1R,5,일,국6등급,1300,11,5,3,해리카심,55.0,0:13.5,0:40.9,0:15.0,1:23.3,427(-6),-,,5.0,3.0,18.7,,1-   -   - 1- 1- 1- 3,,,0:13.5,,,,,,0:15.0,-,,-,0:40.9,0:30.3,,0:48.4,,0:42.4,,1:08.3,1:23.3
20250719,1,서울,10:35,국6등급,1200M,별정A,일반,R0~0,1,달빛소나타,한국,암,3,-,55,0.0,해리카심,신삼영,피닉스,7,3주,망사눈,-,44.5,45.9,-21.7,D,D,D,2025년07월19일(토),제1경주,서울,10:35,1,2025/05/31-2R,5,일,국6등급,1200,4,6,8,김태희,55.0,0:14.1,0:40.9,0:14.9,1:18.2,433(20),-,2.0,5.0,8.0,26.8,,6-   -   - 5- 5- 5- 5,,,0:14.1,,,,,,0:14.9,-,,-,0:40.9,0:25.4,,0:43.7,,0:37.3,,1:03.3,1:18.2
20250719,1,서울,10:35,국6등급,1200M,별정A,일반,R0~0,1,달빛소나타,한국,암,3,-,55,0.0,해리카심,신삼영,피닉스,7,3주,망사눈,-,44.5,45.9,-21.7,D,D,D,2025년07월19일(토),제1경주,서울,10:35,1,2025/05/02-2R,10,주,-,1000,13,-,5,김태희,53.0,0:15.2,0:37.6,0:12.8,1:03.9,428(15),-,3.0,10.0,5.0,-,8-   -   - 8- 7- 4,,,0:15.2,,,,,,,,-,,-,,0:15.2,0:37.6,0:32.6,,,0:12.8,,1:03.9
20250719,1,서울,10:35,국6등급,1200M,별정A,일반,R0~0,1,달빛소나타,한국,암,3,-,55,0.0,해리카심,신삼영,피닉스,7,3주,망사눈,-,44.5,45.9,-21.7,D,D,D,2025년07월19일(토),제1경주,서울,10:35,1,2025/02/15-2R,4,일,국6등급,1200,4,6,10,임다빈,54.5,0:14.0,0:44.2,0:16.6,1:21.4,413(-1),-,4.0,4.0,10.0,89.9,,5-   -   - 5- 5- 5- 10,,,0:14.0,,,,,,0:16.6,-,,-,0:44.2,0:25.0,,0:43.5,,0:37.2,,1:04.8,1:21.4
20250719,1,서울,10:35,국6등급,1200M,별정A,일반,R0~0,1,달빛소나타,한국,암,3,-,55,0.0,해리카심,신삼영,피닉스,7,3주,망사눈,-,44.5,45.9,-21.7,D,D,D,2025년07월19일(토),제1경주,서울,10:35,1,2025/01/19-1R,3,일,국6등급,1200,3,5,10,임다빈,54.0,0:13.9,0:42.4,0:15.9,1:19.3,414(-3),-,5.0,3.0,10.0,57.8,,5-   -   - 5- 5- 5- 5,,,0:13.9,,,,,,0:15.9,-,,-,0:42.4,0:24.8,,0:43.4,,0:36.9,,1:03.4,1:19.3
20250719,1,서울,10:35,국6등급,1200M,별정A,일반,R0~0,1,달빛소나타,한국,암,3,-,55,0.0,해리카심,신삼영,피닉스,7,3주,망사눈,-,44.5,45.9,-21.7,D,D,D,2025년07월19일(토),제1경주,서울,10:35,1,2024/12/12-3R,4,주,-,1000,11,-,8,임다빈,55.0,0:14.3,0:39.8,0:14.5,1:04.9,417(5),-,6.0,4.0,8.0,-,1-   -   - 1- 1- 4,,,0:14.3,,,,,,,,-,,-,,0:14.3,0:39.8,0:31.3,,,0:14.5,,1:04.9
20250719,1,서울,10:35,국6등급,1200M,별정A,일반,R0~0,1,달빛소나타,한국,암,3,-,55,0.0,해리카심,신삼영,피닉스,7,3주,망사눈,-,44.5,45.9,-21.7,D,D,D,2025년07월19일(토),제1경주,서울,10:35,1,2024/10/24-1R,4,주,-,1000,17,-,12,임다빈,55.0,0:15.3,0:40.2,0:14.5,1:07.1,412(0),-,7.0,4.0,12.0,-,11-   -   - 11- 11- 11,,,0:15.3,,,,,,,,-,,-,,0:15.3,0:40.2,0:33.4,,,0:14.5,,1:07.1
20250719,1,서울,10:35,국6등급,1200M,별정A,일반,R0~0,2,코스모밍,한국,암,3,-,55,0.0,문정균,손영표,유수현,10,3주,"망사,혀끈+",-,55.6,48.6,-15.0,C,D,D,2025년07월19일(토),제1경주,서울,10:35,2,2025/06/29-1R,11,일,국6등급,1200,9,4,11,문정균,55.0,0:14.4,0:40.8,0:14.2,1:19.3,445(4),-,1.0,11.0,11.0,47.6,,10-   -   - 10- 10- 10- 11,,,0:14.4,,,,,,0:14.2,-,,-,0:40.8,0:26.2,,0:44.8,,0:38.5,,1:05.1,1:19.3
20250719,1,서울,10:35,국6등급,1200M,별정A,일반,R0~0,2,코스모밍,한국,암,3,-,55,0.0,문정균,손영표,유수현,10,3주,"망사,혀끈+",-,55.6,48.6,-15.0,C,D,D,2025년07월19일(토),제1경주,서울,10:35,2,2025/05/17-1R,4,일,국6등급,1200,17,6,8,문정균,55.0,0:14.0,0:40.6,0:14.5,1:18.1,441(1),-,2.0,4.0,8.0,68.5,,8-   -   - 8- 8- 8- 10,,,0:14.0,,,,,,0:14.5,-,,-,0:40.6,0:25.3,,0:43.6,,0:37.5,,1:03.6,1:18.1
20250719,1,서울,10:35,국6등급,1200M,별정A,일반,R0~0,2,코스모밍,한국,암,3,-,55,0.0,문정균,손영표,유수현,10,3주,"망사,혀끈+",-,55.6,48.6,-15.0,C,D,D,2025년07월19일(토),제1경주,서울,10:35,2,2025/04/19-1R,7,일,국6등급,1200,9,7,7,문정균,55.0,0:14.3,0:41.4,0:15.1,1:19.7,440(17),-,3.0,7.0,7.0,86.8,,8-   -   - 7- 7- 7- 7,,,0:14.3,,,,,,0:15.1,-,,-,0:41.4,0:25.5,,0:44.8,,0:38.3,,1:04.6,1:19.7
20250719,1,서울,10:35,국6등급,1200M,별정A,일반,R0~0,2,코스모밍,한국,암,3,-,55,0.0,문정균,손영표,유수현,10,3주,"망사,혀끈+",-,55.6,48.6,-15.0,C,D,D,2025년07월19일(토),제1경주,서울,10:35,2,2025/03/27-4R,2,주,-,1000,4,-,4,오수철,55.0,0:14.4,0:38.4,0:13.0,1:04.3,423(-16),-,4.0,2.0,4.0,-,4-   -   - 4- 4- 5,,,0:14.4,,,,,,,,-,,-,,0:14.4,0:38.4,0:32.5,,,0:13.0,,1:04.3
20250719,1,서울,10:35,국6등급,1200M,별정A,일반,R0~0,2,코스모밍,한국,암,3,-,55,0.0,문정균,손영표,유수현,10,3주,"망사,혀끈+",-,55.6,48.6,-15.0,C,D,D,2025년07월19일(토),제1경주,서울,10:35,2,2024/12/12-1R,3,주,-,1000,11,-,11,이철경,53.0,0:14.3,0:41.5,0:15.0,1:07.2,439(0),-,5.0,3.0,11.0,-,3-   -   - 3- 5- 8,,,0:14.3,,,,,,,,-,,-,,0:14.3,0:41.5,0:32.5,,,0:15.0,,1:07.2
20250719,1,서울,10:35,국6등급,1200M,별정A,일반,R0~0,2,코스모밍,한국,암,3,-,55,0.0,문정균,손영표,유수현,10,3주,"망사,혀끈+",-,55.6,48.6,-15.0,C,D,D,2025년07월19일(토),제1경주,서울,10:35,2,2024/11/29-2R,4,주,-,1000,19,-,4,이철경,53.0,0:14.2,0:44.5,0:16.5,1:10.5,439(0),-,6.0,4.0,4.0,-,3-   -   - 3- 3- 3,,,0:14.2,,,,,,,,-,,-,,0:14.2,0:44.5,0:32.8,,,0:16.5,,1:10.5
20250719,1,서울,10:35,국6등급,1200M,별정A,일반,R0~0,3,신천하트,한국,암,3,-,55,0.0,박태종,홍대유,문종원,9,4주,-,-,72.9,64.6,-22.5,B+,B,D,2025년07월19일(토),제1경주,서울,10:35,3,2025/06/21-2R,1,일,국6등급,1200,19,4,6,박태종,55.0,0:14.0,0:40.0,0:14.3,1:16.9,438(10),-,1.0,1.0,6.0,23.1,,6-   -   - 6- 6- 6- 6,,,0:14.0,,,,,,0:14.3,-,,-,0:40.0,0:25.1,,0:43.1,,0:36.9,,1:02.6,1:16.9
20250719,1,서울,10:35,국6등급,1200M,별정A,일반,R0~0,3,신천하트,한국,암,3,-,55,0.0,박태종,홍대유,문종원,9,4주,-,-,72.9,64.6,-22.5,B+,B,D,2025년07월19일(토),제1경주,서울,10:35,3,2025/05/24-1R,5,일,국6등급,1200,13,5,7,박태종,55.0,0:14.0,0:40.3,0:14.4,1:18.5,428(3),-,2.0,5.0,7.0,63.5,,3-   -   - 4- 6- 6- 7,,,0:14.0,,,,,,0:14.4,-,,-,0:40.3,0:25.9,,0:44.5,,0:38.2,,1:04.1,1:18.5
20250719,1,서울,10:35,국6등급,1200M,별정A,일반,R0~0,3,신천하트,한국,암,3,-,55,0.0,박태종,홍대유,문종원,9,4주,-,-,72.9,64.6,-22.5,B+,B,D,2025년07월19일(토),제1경주,서울,10:35,3,2025/04/26-1R,7,일,국6등급,1200,9,6,9,박태종,55.0,0:13.9,0:41.7,0:15.2,1:19.0,425(8),-,3.0,7.0,9.0,81.8,,4-   -   - 4- 4- 4- 6,,,0:13.9,,,,,,0:15.2,-,,-,0:41.7,0:25.2,,0:43.5,,0:37.3,,1:03.8,1:19.0
